student_id,university,faculty,department,course,gpa_scale,programme_duration_years,current_level,semester_number,academic_session,semester_gpa,semester_credits,cumulative_cgpa,cumulative_credits,semesters_completed,semesters_remaining,is_final_semester,gpa_trend_slope,gpa_volatility,recent_gpa_avg_3,credits_velocity,next_semester_gpa,final_cgpa,graduation_class,academic_risk
STU_0000,University of Lagos,Science,Mathematics,Mathematics,5.0,6,100,1,2020/2021,2.97,19,2.97,19,1,11,False,0.0,0.0,2.9720733252806455,19.0,3.21,3.59,Second Class Upper,Medium
STU_0000,University of Lagos,Science,Mathematics,Mathematics,5.0,6,100,2,2020/2021,3.21,19,3.09,38,2,10,False,0.23616709629512744,0.166995355283421,3.090156873428209,19.0,3.95,3.59,Second Class Upper,Low
STU_0000,University of Lagos,Science,Mathematics,Mathematics,5.0,6,200,3,2021/2022,3.95,19,3.38,57,3,9,False,0.4879039991035552,0.5090914800764547,3.3760650234480583,19.0,3.78,3.59,Second Class Upper,Low
STU_0000,University of Lagos,Science,Mathematics,Mathematics,5.0,6,200,4,2021/2022,3.78,18,3.47,75,4,8,False,0.3168344189480331,0.46249945158755373,3.6459209442889855,18.75,3.87,3.59,Second Class Upper,Low
STU_0000,University of Lagos,Science,Mathematics,Mathematics,5.0,6,300,5,2022/2023,3.87,19,3.55,94,5,7,False,0.23628284302043218,0.436743164201816,3.8654365395200543,18.8,3.59,3.59,Second Class Upper,Low
STU_0000,University of Lagos,Science,Mathematics,Mathematics,5.0,6,300,6,2022/2023,3.59,15,3.56,109,6,6,False,0.14027940310820292,0.39092413568866674,3.746859139277138,18.166666666666668,3.26,3.59,Second Class Upper,Low
STU_0000,University of Lagos,Science,Mathematics,Mathematics,5.0,6,400,7,2023/2024,3.26,19,3.51,128,7,5,False,0.055746812834622586,0.3742152906959062,3.5741351599052926,18.285714285714285,4.03,3.59,Second Class Upper,Low
STU_0000,University of Lagos,Science,Mathematics,Mathematics,5.0,6,400,8,2023/2024,4.03,18,3.58,146,8,4,False,0.07937217579682157,0.3899980827989419,3.6270005139612347,18.25,3.76,3.59,Second Class Upper,Low
STU_0000,University of Lagos,Science,Mathematics,Mathematics,5.0,6,500,9,2024/2025,3.76,13,3.59,159,9,3,False,0.06770486808614208,0.3698287704028644,3.6844069026542456,17.666666666666668,3.98,3.59,Second Class Upper,Low
STU_0000,University of Lagos,Science,Mathematics,Mathematics,5.0,6,500,10,2024/2025,3.98,13,3.62,172,10,2,False,0.06984564923987713,0.36857489325930753,3.923322413883504,17.2,3.27,3.59,Second Class Upper,Low
STU_0000,University of Lagos,Science,Mathematics,Mathematics,5.0,6,500,11,2025/2026,3.27,13,3.6,185,11,1,False,0.03536298579049435,0.36743777476253353,3.67011244503267,16.818181818181817,3.43,3.59,Second Class Upper,Low
STU_0000,University of Lagos,Science,Mathematics,Mathematics,5.0,6,500,12,2025/2026,3.43,14,3.59,199,12,0,True,0.02057043173766205,0.3538565625650431,3.5599063137672893,16.583333333333332,,3.59,Second Class Upper,Low
STU_0001,Ahmadu Bello University,Science,Physics,Physics with Electronics,5.0,4,100,1,2021/2022,3.6,21,3.6,21,1,7,False,0.0,0.0,3.59880651680699,21.0,3.26,3.49,Second Class Lower,Low
